GTFS Stop ID,Stop Name,Borough,zone
124,66 St-Lincoln Center,M,Lincoln Square East
F24,7 Av,Bk,Park Slope
617,Cypress Av,Bx,Mott Haven/Port Morris
A18,103 St,M,Central Park
H03,Howard Beach-JFK Airport,Q,JFK Airport
244,Church Av,Bk,Prospect-Lefferts Gardens
710,74 St-Broadway,Q,Elmhurst
J24,Alabama Av,Bk,East New York
L21,Bushwick Av-Aberdeen St,Bk,Bushwick South
R32,Union St,Bk,Gowanus
631,Grand Central-42 St,M,Midtown East
J16,85 St-Forest Pkwy,Q,Woodhaven
B08,Lexington Av/63 St,M,Upper East Side South
R27,Whitehall St-South Ferry,M,Financial District South
217,Simpson St,Bx,Hunts Point
L27,New Lots Av,Bk,Brownsville
210,Allerton Av,Bx,Bronxdale
D16,42 St-Bryant Pk,M,Garment District
F36,Avenue U,Bk,Gravesend
416,138 St-Grand Concourse,Bx,Mott Haven/Port Morris
B20,20 Av,Bk,Bensonhurst West
B13,Fort Hamilton Pkwy,Bk,Sunset Park East
F25,15 St-Prospect Park,Bk,Windsor Terrace
138,WTC Cortlandt,M,World Trade Center
D20,W 4 St-Wash Sq,M,West Village
G26,Greenpoint Av,Bk,Greenpoint
M18,Delancey St-Essex St,M,Lower East Side
L06,1 Av,M,East Village
D40,Brighton Beach,Bk,Brighton Beach
